DATE,CLVMNACSCAB1GQDE
1995-01-01,541085.900000000000
1995-07-01,544341.000000000000
1996-01-01,544377.700000000000
1996-07-01,552533.300000000000
1997-01-01,555496.050000000000
1997-07-01,562664.200000000000
1998-01-01,568991.500000000000
1998-07-01,570234.950000000000
1999-01-01,576562.050000000000
1999-07-01,585339.950000000000
2000-01-01,598305.100000000000
2000-07-01,599694.900000000000
2001-01-01,610429.250000000000
2001-07-01,608563.900000000000
2002-01-01,606131.850000000000
2002-07-01,610557.200000000000
2003-01-01,601925.850000000000
2003-07-01,608143.350000000000
2004-01-01,609478.300000000000
2004-07-01,609076.000000000000
2005-01-01,611745.700000000000
2005-07-01,619645.850000000000
2006-01-01,633086.450000000000
2006-07-01,648081.600000000000
2007-01-01,655780.400000000000
2007-07-01,663680.050000000000
2008-01-01,668983.450000000000
2008-07-01,658998.650000000000
2009-01-01,623979.700000000000
2009-07-01,631001.800000000000
2010-01-01,644954.350000000000
2010-07-01,660352.200000000000
2011-01-01,675401.950000000000
2011-07-01,679973.650000000000
2012-01-01,681765.700000000000
2012-07-01,682424.050000000000
2013-01-01,681601.050000000000
2013-07-01,689537.700000000000
2014-01-01,697254.650000000000
2014-07-01,703545.150000000000
2015-01-01,706708.800000000000
2015-07-01,713804.050000000000
2016-01-01,723550.950000000000
2016-07-01,728378.550000000000
2017-01-01,741800.900000000000
2017-07-01,753797.300000000000
2018-01-01,756448.700000000000
2018-07-01,756083.000000000000
2019-01-01,762958.750000000000
2019-07-01,765116.650000000000
2020-01-01,714846.800000000000
2020-07-01,745092.250000000000
2021-01-01,750395.950000000000
2021-07-01,762464.950000000000
2022-01-01,766122.400000000000
2022-07-01,768609.350000000000
2023-01-01,767164.700000000000
2023-07-01,766616.150000000000
2024-01-01,765848.100000000000
