DATE,CLVMNACSCAB1GQIT
1995-01-01,352338.000000000000
1995-07-01,353678.000000000000
1996-01-01,358343.750000000000
1996-07-01,358733.600000000000
1997-01-01,361990.400000000000
1997-07-01,369253.400000000000
1998-01-01,371199.050000000000
1998-07-01,372012.700000000000
1999-01-01,373945.950000000000
1999-07-01,381371.250000000000
2000-01-01,390173.950000000000
2000-07-01,396908.450000000000
2001-01-01,401826.050000000000
2001-07-01,399855.600000000000
2002-01-01,400618.400000000000
2002-07-01,403032.700000000000
2003-01-01,402149.950000000000
2003-07-01,402694.750000000000
2004-01-01,406788.700000000000
2004-07-01,408121.600000000000
2005-01-01,409663.150000000000
2005-07-01,414572.600000000000
2006-01-01,417394.200000000000
2006-07-01,422444.850000000000
2007-01-01,425134.300000000000
2007-07-01,425441.950000000000
2008-01-01,427344.950000000000
2008-07-01,414202.300000000000
2009-01-01,398212.300000000000
2009-07-01,398535.300000000000
2010-01-01,402194.400000000000
2010-07-01,406336.100000000000
2011-01-01,409771.400000000000
2011-07-01,405675.150000000000
2012-01-01,397598.950000000000
2012-07-01,391964.000000000000
2013-01-01,387031.300000000000
2013-07-01,388117.750000000000
2014-01-01,387880.000000000000
2014-07-01,387856.600000000000
2015-01-01,389783.100000000000
2015-07-01,391735.950000000000
2016-01-01,394005.200000000000
2016-07-01,398097.600000000000
2017-01-01,401411.600000000000
2017-07-01,404076.550000000000
2018-01-01,404980.050000000000
2018-07-01,405984.900000000000
2019-01-01,408026.800000000000
2019-07-01,406320.400000000000
2020-01-01,358429.550000000000
2020-07-01,383017.850000000000
2021-01-01,393760.900000000000
2021-07-01,412888.650000000000
2022-01-01,420132.650000000000
2022-07-01,425306.750000000000
2023-01-01,425869.150000000000
2023-07-01,426286.500000000000
2024-01-01,427938.200000000000
