DATE,CLVMNACSCAB1GQPT
1995-01-01,33989.600000000000
1995-07-01,34461.400000000000
1996-01-01,35045.900000000000
1996-07-01,35803.850000000000
1997-01-01,36602.000000000000
1997-07-01,37365.750000000000
1998-01-01,38315.750000000000
1998-07-01,39208.350000000000
1999-01-01,39970.250000000000
1999-07-01,40582.450000000000
2000-01-01,41493.650000000000
2000-07-01,42133.050000000000
2001-01-01,42322.550000000000
2001-07-01,42929.500000000000
2002-01-01,43207.650000000000
2002-07-01,42701.700000000000
2003-01-01,42435.500000000000
2003-07-01,42674.400000000000
2004-01-01,43290.750000000000
2004-07-01,43341.550000000000
2005-01-01,43691.700000000000
2005-07-01,43617.950000000000
2006-01-01,44222.000000000000
2006-07-01,44506.500000000000
2007-01-01,45245.150000000000
2007-07-01,45707.350000000000
2008-01-01,45852.150000000000
2008-07-01,45390.750000000000
2009-01-01,43989.000000000000
2009-07-01,44405.200000000000
2010-01-01,44894.750000000000
2010-07-01,45035.400000000000
2011-01-01,44574.500000000000
2011-07-01,43814.700000000000
2012-01-01,42961.200000000000
2012-07-01,41847.450000000000
2013-01-01,41826.950000000000
2013-07-01,42147.100000000000
2014-01-01,42161.350000000000
2014-07-01,42435.250000000000
2015-01-01,42876.800000000000
2015-07-01,43064.700000000000
2016-01-01,43421.900000000000
2016-07-01,44242.000000000000
2017-01-01,44987.850000000000
2017-07-01,45581.850000000000
2018-01-01,46280.150000000000
2018-07-01,46958.000000000000
2019-01-01,47638.400000000000
2019-07-01,48159.750000000000
2020-01-01,42856.700000000000
2020-07-01,45081.600000000000
2021-01-01,44865.900000000000
2021-07-01,47960.650000000000
2022-01-01,49299.700000000000
2022-07-01,50011.650000000000
2023-01-01,50830.250000000000
2023-07-01,50989.950000000000
2024-01-01,51576.950000000000
