DATE,CLVMNACSCAB1GQES
1995-01-01,179177.400000000000
1995-07-01,181245.150000000000
1996-01-01,183607.000000000000
1996-07-01,186212.850000000000
1997-01-01,189386.900000000000
1997-07-01,193699.950000000000
1998-01-01,197773.200000000000
1998-07-01,201794.000000000000
1999-01-01,206012.600000000000
1999-07-01,211170.900000000000
2000-01-01,217053.800000000000
2000-07-01,221825.500000000000
2001-01-01,226146.550000000000
2001-07-01,229933.800000000000
2002-01-01,232724.650000000000
2002-07-01,235922.800000000000
2003-01-01,239581.150000000000
2003-07-01,242841.150000000000
2004-01-01,246583.500000000000
2004-07-01,250863.450000000000
2005-01-01,255126.900000000000
2005-07-01,259985.100000000000
2006-01-01,265490.800000000000
2006-07-01,270450.450000000000
2007-01-01,275375.600000000000
2007-07-01,279502.600000000000
2008-01-01,280927.050000000000
2008-07-01,278207.950000000000
2009-01-01,268740.400000000000
2009-07-01,269325.650000000000
2010-01-01,269218.550000000000
2010-07-01,269353.950000000000
2011-01-01,268932.500000000000
2011-07-01,266193.550000000000
2012-01-01,261669.550000000000
2012-07-01,258124.500000000000
2013-01-01,256212.500000000000
2013-07-01,256162.450000000000
2014-01-01,258070.250000000000
2014-07-01,262095.350000000000
2015-01-01,268054.600000000000
2015-07-01,273234.200000000000
2016-01-01,276812.250000000000
2016-07-01,280255.400000000000
2017-01-01,284519.350000000000
2017-07-01,288681.800000000000
2018-01-01,291744.000000000000
2018-07-01,295187.600000000000
2019-01-01,298293.800000000000
2019-07-01,300149.150000000000
2020-01-01,260030.350000000000
2020-07-01,272942.000000000000
2021-01-01,279120.800000000000
2021-07-01,289470.950000000000
2022-01-01,298863.900000000000
2022-07-01,304862.400000000000
2023-01-01,308163.900000000000
2023-07-01,311716.050000000000
2024-01-01,317057.050000000000
